X,Y,name,longitude,latitude,WKT,icon_url
38.90188,-10.94166,Lupaso,"38.9019","-10.9417",POINT Z (38.90188000000001 -10.94166000000001 0),
39.346616,-6.870964,Kasumo village,"39.3466","-6.87096",POINT Z (39.34661599999998 -6.870963999999988 0),
36.43079,-6.31057,Chamhawi Hill,"36.4308","-6.31057",POINT Z (36.43078999999999 -6.310570000000011 0),
31.84737,-2.28682,Pongo View,"31.8474","-2.28682",POINT Z (31.84737 -2.286820000000009 0),
31.953177,-2.408751,Bulongelo Hill,"31.9532","-2.40875",POINT Z (31.953177 -2.408750999999996 0),
31.012675,-1.025444,Bugango Hill,"31.0127","-1.02544",POINT Z (31.01267499999998 -1.025443999999986 0),
36.14796,-7.3734,Ngano Hill,"36.148","-7.3734",POINT Z (36.14796000000001 -7.373400000000004 0),
34.85104,-8.34368,Ikweha Hill,"34.851","-8.34368",POINT Z (34.85104000000001 -8.34368000000001 0),
35.66098,-8.75871,Mpanga Tazara P/S,"35.661","-8.75871",POINT Z (35.66098 -8.758710000000015 0),
38.618016,-10.418983,Mchonda 843 KJ,"38.618","-10.419",POINT Z (38.618016 -10.418983 0),
39.36933,-9.57781,Mnyangara Hill,"39.3693","-9.57781",POINT Z (39.36933000000001 -9.577810000000005 0),
38.76545,-10.78154,Matawale P/S,"38.7655","-10.7815",POINT Z (38.76544999999999 -10.78154 0),
38.771943,-7.089761,Kidugalo P/S,"38.7719","-7.08976",POINT Z (38.77194300000001 -7.089761000000014 0),
35.060599,-11.44556,Mpepo Hill,"35.0606","-11.4456",POINT Z (35.06059899999999 -11.44556000000001 0),
34.06254,-1.71485,Matongo P/S,"34.0625","-1.71485",POINT Z (34.06254 -1.714850000000003 0),
35.021766,-5.052966,Misughaa Hill,"35.0218","-5.05297",POINT Z (35.021766 -5.052965999999994 0),
33.928354,-9.65341,Itete,"33.9284","-9.65341",POINT Z (33.928354 -9.653410000000001 0),
32.054992,-2.290263,IBENDE(Kisaba),"32.055","-2.29026",POINT Z (32.05499199999998 -2.290263000000012 0),
31.10174,-6.43296,Makongolo Hill,"31.1017","-6.43296",POINT Z (31.10173999999999 -6.432960000000005 0),
31.44217,-7.23573,Ikulwe P/S,"31.4422","-7.23573",POINT Z (31.44216999999998 -7.235729999999984 0),
31.32224,-7.20417,Mbede Dispensary,"31.3222","-7.20417",POINT Z (31.32223999999999 -7.20417000000001 0),
30.40441,-6.73831,Ikola[DET IKOLA] Hill,"30.4044","-6.73831",POINT Z (30.40440999999997 -6.738310000000007 0),
32.47474,-6.78363,Ibelamafipa,"32.4747","-6.78363",POINT Z (32.47473999999999 -6.783629999999981 0),
32.15141,-6.67635,Songambele P/S,"32.1514","-6.67635",POINT Z (32.15140999999998 -6.676350000000014 0),
32.13649,-6.74333,Kamalampaka,"32.1365","-6.74333",POINT Z (32.13648999999999 -6.743330000000016 0),
32.01568,-6.79965,Kaulolo,"32.0157","-6.79965",POINT Z (32.01568000000001 -6.799649999999982 0),
