X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,longitude,latitude,icon_url
38.90188,-10.94166,Lupaso,,,,,,"-1","0","-1",,,38.9019,-10.9417,
39.346616,-6.870964,Kasumo village,,,,,,"-1","0","-1",,,39.3466,-6.87096,
36.43079,-6.31057,Chamhawi Hill,,,,,,"-1","0","-1",,,36.4308,-6.31057,
31.84737,-2.28682,Pongo View,,,,,,"-1","0","-1",,,31.8474,-2.28682,
31.953177,-2.408751,Bulongelo Hill,,,,,,"-1","0","-1",,,31.9532,-2.40875,
31.012675,-1.025444,Bugango Hill,,,,,,"-1","0","-1",,,31.0127,-1.02544,
36.14796,-7.3734,Ngano Hill,,,,,,"-1","0","-1",,,36.148,-7.3734,
34.85104,-8.34368,Ikweha Hill,,,,,,"-1","0","-1",,,34.851,-8.34368,
35.66098,-8.75871,Mpanga Tazara P/S,,,,,,"-1","0","-1",,,35.661,-8.75871,
38.618016,-10.418983,Mchonda 843 KJ,,,,,,"-1","0","-1",,,38.618,-10.419,
39.36933,-9.57781,Mnyangara Hill,,,,,,"-1","0","-1",,,39.3693,-9.57781,
38.76545,-10.78154,Matawale P/S,,,,,,"-1","0","-1",,,38.7655,-10.7815,
38.771943,-7.089761,Kidugalo P/S,,,,,,"-1","0","-1",,,38.7719,-7.08976,
35.060599,-11.44556,Mpepo Hill,,,,,,"-1","0","-1",,,35.0606,-11.4456,
34.06254,-1.71485,Matongo P/S,,,,,,"-1","0","-1",,,34.0625,-1.71485,
35.021766,-5.052966,Misughaa Hill,,,,,,"-1","0","-1",,,35.0218,-5.05297,
33.928354,-9.65341,Itete,,,,,,"-1","0","-1",,,33.9284,-9.65341,
32.054992,-2.290263,IBENDE(Kisaba),,,,,,"-1","0","-1",,,32.055,-2.29026,
31.10174,-6.43296,Makongolo Hill,,,,,,"-1","0","-1",,,31.1017,-6.43296,
31.44217,-7.23573,Ikulwe P/S,,,,,,"-1","0","-1",,,31.4422,-7.23573,
31.32224,-7.20417,Mbede Dispensary,,,,,,"-1","0","-1",,,31.3222,-7.20417,
30.40441,-6.73831,Ikola[DET IKOLA] Hill,,,,,,"-1","0","-1",,,30.4044,-6.73831,
32.47474,-6.78363,Ibelamafipa,,,,,,"-1","0","-1",,,32.4747,-6.78363,
32.15141,-6.67635,Songambele P/S,,,,,,"-1","0","-1",,,32.1514,-6.67635,
32.13649,-6.74333,Kamalampaka,,,,,,"-1","0","-1",,,32.1365,-6.74333,
32.01568,-6.79965,Kaulolo,,,,,,"-1","0","-1",,,32.0157,-6.79965,
32.03812,-6.60634,Kafuru P/S,,,,,,"-1","0","-1",,,32.0381,-6.60634,
31.3605,-7.68606,Milundikwa[847 KJ] Hill,,,,,,"-1","0","-1",,,31.3605,-7.68606,
31.17176,-8.57147,Kapele,,,,,,"-1","0","-1",,,31.1718,-8.57147,
32.78255,-8.88595,Itaka 845 KJ Hill,,,,,,"-1","0","-1",,,32.7826,-8.88595,
35.93336,-5.6651,Solowu,,,,,,"-1","0","-1",,,35.9334,-5.6651,
35.31102,-5.20493,Dinae,,,,,,"-1","0","-1",,,35.311,-5.20493,
35.71456,-5.54155,Humekwa,,,,,,"-1","0","-1",,,35.7146,-5.54155,
35.39386,-5.355,Motto Hill,,,,,,"-1","0","-1",,,35.3939,-5.355,
36.09393,-6.86151,Wiyenzele Hill,,,,,,"-1","0","-1",,,36.0939,-6.86151,
35.079417,-7.844472,Makifu,,,,,,"-1","0","-1",,,35.0794,-7.84447,
36.06142,-7.291252,Nyakavangala Dispensary,,,,,,"-1","0","-1",,,36.0614,-7.29125,
35.22419,-8.9617,Idete,,,,,,"-1","0","-1",,,35.2242,-8.9617,
34.09002,-9.06386,Matenga P/S,,,,,,"-1","0","-1",,,34.09,-9.06386,
34.31252,-9.4726,Maliwa Hill,,,,,,"-1","0","-1",,,34.3125,-9.4726,
34.94094,-10.11951,Ibumi,,,,,,"-1","0","-1",,,34.9409,-10.1195,
